x,y
0,10
0,87
1,43
1,54
3,6
3,91
4,47
4,50
10,21
10,76
11,17
11,80
12,3
12,94
17,10
17,87
20,34
20,63
21,24
21,73
22,5
22,92
23,24
23,73
24,2
24,95
25,35
25,62
27,7
27,90
28,34
28,63
29,43
29,54
30,0
32,7
32,90
37,22
37,75
38,7
38,90
39,6
39,91
44,20
44,77
46,25
46,72
47,18
47,79
49,34
49,63
50,19
50,78
52,29
52,68
53,24
53,73
54,12
54,85
55,6
55,91
56,8
56,89
59,32
59,65
65,32
65,65
67,43
67,54
68,0
70,32
70,65
73,14
73,83
74,20
74,77
76,20
76,77
80,10
80,87
83,23
83,74
84,37
84,60
85,26
85,71
86,28
86,69
87,27
87,70
88,41
88,56
91,39
91,58
92,16
92,81
95,31
95,66
96,0
